Date,Region,Youth_Unemployment_Rate,Inflation_Rate,UK_Vacancies_Thousands,US_NFP,US_Unemployment_Rate,RTI_Payrolled_Employees,GDP_Value_mil,Bank_Rate_Date,BoE_Base_Rate
0192-03-31,London,14.0,,,,,,,,
2001-09-30,London,17.0,1.5,664.0,131985.33333333334,4.833333333333333,,360464.0,2001-09-18,4.75
2001-12-31,London,16.0,1.0333333333333334,602.0,131193.0,5.5,,360464.0,2001-11-08,4.0
2002-03-31,London,13.4,1.5333333333333332,619.0,130772.66666666667,5.7,,366508.0,2001-11-08,4.0
2002-06-30,London,13.0,0.9333333333333332,616.0,130640.66666666667,5.833333333333333,,366508.0,2001-11-08,4.0
2002-09-30,London,17.9,1.0333333333333334,609.0,130555.66666666667,5.733333333333333,,366508.0,2001-11-08,4.0
2002-12-31,London,15.3,1.5333333333333332,603.0,130566.0,5.866666666666667,,366508.0,2001-11-08,4.0
2003-03-31,London,16.0,1.4666666666666668,593.0,130416.33333333333,5.866666666666667,,381141.0,2003-02-06,3.75
2003-06-30,London,15.6,1.2666666666666666,579.0,130185.33333333333,6.133333333333333,,381141.0,2003-02-06,3.75
2003-09-30,London,19.3,1.3666666666666665,592.0,130196.33333333333,6.133333333333333,,381141.0,2003-07-10,3.5
2003-12-31,London,16.2,1.3333333333333333,614.0,130502.66666666667,5.833333333333333,,381141.0,2003-11-06,3.75
2004-03-31,London,16.8,1.2666666666666666,624.0,130905.66666666667,5.7,,391924.0,2004-02-05,4.0
2004-06-30,London,16.0,1.4000000000000001,641.0,131634.33333333334,5.599999999999999,,391924.0,2004-06-10,4.5
2004-09-30,London,22.2,1.2666666666666666,654.0,131960.66666666666,5.433333333333334,,391924.0,2004-08-05,4.75
2004-12-31,London,19.6,1.4666666666666668,661.0,132520.66666666666,5.433333333333334,,391924.0,2004-08-05,4.75
2005-03-31,London,17.5,1.7333333333333334,643.0,132989.66666666666,5.3,,412888.0,2004-08-05,4.75
2005-06-30,London,18.6,1.9333333333333333,642.0,133719.0,5.1000000000000005,,412888.0,2004-08-05,4.75
2005-09-30,London,22.6,2.4,621.0,134451.33333333334,4.966666666666667,,412888.0,2005-08-04,4.5
2005-12-31,London,19.3,2.1,609.0,134932.33333333334,4.966666666666667,,412888.0,2005-08-04,4.5
2006-03-31,London,17.5,1.9000000000000001,599.0,135732.66666666666,4.733333333333333,,427775.0,2005-08-04,4.5
2006-06-30,London,19.5,2.2333333333333334,604.0,136265.33333333334,4.633333333333333,,427775.0,2005-08-04,4.5
2006-09-30,London,22.4,2.433333333333333,611.0,136682.33333333334,4.633333333333334,,427775.0,2006-08-03,4.75
2006-12-31,London,18.5,2.6999999999999997,621.0,137050.66666666666,4.433333333333334,,427775.0,2006-11-09,5.0
2007-03-31,London,18.0,2.8666666666666667,642.0,137605.33333333334,4.5,,458355.0,2007-01-11,5.25
2007-06-30,London,18.5,2.5666666666666664,659.0,137969.66666666666,4.5,,458355.0,2007-05-10,5.5
2007-09-30,London,18.6,1.8333333333333333,684.0,138052.0,4.666666666666667,,458355.0,2007-07-05,5.75
2007-12-31,London,19.1,2.1,687.0,138286.66666666666,4.8,,458355.0,2007-12-06,5.5
2008-03-31,London,18.1,2.4,698.0,138326.33333333334,5.0,,457175.0,2008-02-07,5.25
2008-06-30,London,18.4,3.3666666666666667,657.0,137863.66666666666,5.333333333333333,,457175.0,2008-04-10,5.0
2008-09-30,London,21.1,4.766666666666667,615.0,137156.0,6.0,,457175.0,2008-04-10,5.0
2008-12-31,London,20.2,3.9,527.0,135559.66666666666,6.866666666666667,,457175.0,2008-12-04,2.0
2009-03-31,London,20.2,3.033333333333333,464.0,133297.0,8.266666666666667,,431113.0,2009-03-05,0.5
2009-06-30,London,19.8,2.1,431.0,131432.0,9.299999999999999,,431113.0,2009-03-05,0.5
2009-09-30,London,25.3,1.5,436.0,130460.0,9.633333333333333,,431113.0,2009-03-05,0.5
2009-12-31,London,26.2,2.1,454.0,129975.33333333333,9.933333333333334,,431113.0,2009-03-05,0.5
