Date,Region,Youth_Unemployment_Rate,Inflation_Rate,UK_Vacancies_Thousands,RTI_Payrolled_Employees,GDP_Value_mil,Bank_Rate_Date,BoE_Base_Rate,Youth_Unemployment_Rate_Lag_1,Youth_Unemployment_Rate_Lag_4,GDP_Value_mil_Lag_1,GDP_Value_mil_Lag_4,Inflation_Rate_Lag_1,Inflation_Rate_Lag_4,UK_Vacancies_Thousands_Lag_1,UK_Vacancies_Thousands_Lag_4,BoE_Base_Rate_Lag_1,BoE_Base_Rate_Lag_2,BoE_Base_Rate_Lag_4,RTI_Payrolled_Employees_Lag_1,RTI_Payrolled_Employees_Lag_4,Quarter_Sin,Quarter_Cos
2015-09-30,London,19.0,0.0,742.0,3843830.0,516398.0,2009-03-05,0.5,19.8,18.1,516398.0,507606.0,0.0,1.4333333333333331,730.0,686.0,0.5,0.5,0.5,3807208.0,3683726.0,-1.0,-1.8369701987210297e-16
2015-12-31,London,19.7,0.0666666666666666,745.0,3873506.3333333335,516398.0,2009-03-05,0.5,19.0,20.3,516398.0,507606.0,0.0,0.9333333333333332,742.0,708.0,0.5,0.5,0.5,3843830.0,3722543.6666666665,-2.4492935982947064e-16,1.0
2016-03-31,London,17.3,0.3666666666666667,745.0,3893507.6666666665,535584.0,2009-03-05,0.5,19.7,19.0,516398.0,516398.0,0.0666666666666666,0.0999999999999999,745.0,729.0,0.5,0.5,0.5,3873506.3333333335,3769272.0,1.0,6.123233995736766e-17
2016-06-30,London,17.2,0.3666666666666667,748.0,3908679.0,535584.0,2009-03-05,0.5,17.3,19.8,535584.0,516398.0,0.3666666666666667,0.0,745.0,730.0,0.5,0.5,0.5,3893507.6666666665,3807208.0,1.2246467991473532e-16,-1.0
2016-09-30,London,17.8,0.7333333333333334,756.0,3922750.3333333335,535584.0,2016-08-04,0.25,17.2,19.0,535584.0,516398.0,0.3666666666666667,0.0,748.0,742.0,0.5,0.5,0.5,3908679.0,3843830.0,-1.0,-1.8369701987210297e-16
2016-12-31,London,15.3,1.2333333333333334,753.0,3936945.0,535584.0,2016-08-04,0.25,17.8,19.7,535584.0,516398.0,0.7333333333333334,0.0666666666666666,756.0,745.0,0.25,0.5,0.5,3922750.3333333335,3873506.3333333335,-2.4492935982947064e-16,1.0
2017-03-31,London,13.5,2.1333333333333333,766.0,3957063.0,545394.0,2016-08-04,0.25,15.3,17.3,535584.0,535584.0,1.2333333333333334,0.3666666666666667,753.0,745.0,0.25,0.25,0.5,3936945.0,3893507.6666666665,1.0,6.123233995736766e-17
2017-06-30,London,14.3,2.733333333333333,792.0,3971094.0,545394.0,2016-08-04,0.25,13.5,17.2,545394.0,535584.0,2.1333333333333333,0.3666666666666667,766.0,748.0,0.25,0.25,0.5,3957063.0,3908679.0,1.2246467991473532e-16,-1.0
2017-09-30,London,16.3,2.833333333333333,806.0,3985603.0,545394.0,2016-08-04,0.25,14.3,17.8,545394.0,535584.0,2.733333333333333,0.7333333333333334,792.0,756.0,0.25,0.25,0.25,3971094.0,3922750.3333333335,-1.0,-1.8369701987210297e-16
2017-12-31,London,16.1,3.033333333333333,815.0,4002641.6666666665,545394.0,2017-11-02,0.5,16.3,15.3,545394.0,535584.0,2.833333333333333,1.2333333333333334,806.0,753.0,0.25,0.25,0.25,3985603.0,3936945.0,-2.4492935982947064e-16,1.0
2018-03-31,London,14.3,2.733333333333333,808.0,4014630.3333333335,555992.0,2017-11-02,0.5,16.1,13.5,545394.0,545394.0,3.033333333333333,2.1333333333333333,815.0,766.0,0.5,0.25,0.25,4002641.6666666665,3957063.0,1.0,6.123233995736766e-17
2018-06-30,London,13.7,2.4,841.0,4029101.3333333335,555992.0,2017-11-02,0.5,14.3,14.3,555992.0,545394.0,2.733333333333333,2.733333333333333,808.0,792.0,0.5,0.5,0.25,4014630.3333333335,3971094.0,1.2246467991473532e-16,-1.0
2018-09-30,London,14.2,2.533333333333333,853.0,4044431.0,555992.0,2018-08-02,0.75,13.7,16.3,555992.0,545394.0,2.4,2.833333333333333,841.0,806.0,0.5,0.5,0.25,4029101.3333333335,3985603.0,-1.0,-1.8369701987210297e-16
2018-12-31,London,15.9,2.2666666666666666,848.0,4067181.3333333335,555992.0,2018-08-02,0.75,14.2,16.1,555992.0,545394.0,2.533333333333333,3.033333333333333,853.0,815.0,0.75,0.5,0.5,4044431.0,4002641.6666666665,-2.4492935982947064e-16,1.0
2019-06-30,London,15.4,2.033333333333333,835.0,4108978.6666666665,562208.0,2018-08-02,0.75,15.9,14.3,555992.0,555992.0,2.2666666666666666,2.733333333333333,848.0,808.0,0.75,0.75,0.5,4067181.3333333335,4014630.3333333335,1.2246467991473532e-16,-1.0
2019-09-30,London,19.2,1.8333333333333333,827.0,4122281.6666666665,562208.0,2018-08-02,0.75,15.4,13.7,562208.0,555992.0,2.033333333333333,2.4,835.0,841.0,0.75,0.75,0.5,4108978.6666666665,4029101.3333333335,-1.0,-1.8369701987210297e-16
2019-12-31,London,15.5,1.4333333333333331,799.0,4139113.0,562208.0,2018-08-02,0.75,19.2,14.2,562208.0,555992.0,1.8333333333333333,2.533333333333333,827.0,853.0,0.75,0.75,0.75,4122281.6666666665,4044431.0,-2.4492935982947064e-16,1.0
2020-03-31,London,13.2,1.6666666666666667,788.0,4151062.0,490420.0,2020-03-19,0.1,15.5,15.9,562208.0,555992.0,1.4333333333333331,2.2666666666666666,799.0,848.0,0.75,0.75,0.75,4139113.0,4067181.3333333335,1.0,6.123233995736766e-17
2020-06-30,London,14.6,0.6333333333333333,343.0,4041088.0,490420.0,2020-03-19,0.1,13.2,15.4,490420.0,562208.0,1.6666666666666667,2.033333333333333,788.0,835.0,0.1,0.75,0.75,4151062.0,4108978.6666666665,1.2246467991473532e-16,-1.0
2020-09-30,London,26.8,0.5666666666666667,499.0,3984362.3333333335,490420.0,2020-03-19,0.1,14.6,19.2,490420.0,562208.0,0.6333333333333333,1.8333333333333333,343.0,827.0,0.1,0.1,0.75,4041088.0,4122281.6666666665,-1.0,-1.8369701987210297e-16
2020-12-31,London,22.4,0.5333333333333333,586.0,3925166.3333333335,490420.0,2020-03-19,0.1,26.8,15.5,490420.0,562208.0,0.5666666666666667,1.4333333333333331,499.0,799.0,0.1,0.1,0.75,3984362.3333333335,4139113.0,-2.4492935982947064e-16,1.0
2021-03-31,London,16.9,0.6,621.0,3922091.0,528416.0,2020-03-19,0.1,22.4,13.2,490420.0,490420.0,0.5333333333333333,1.6666666666666667,586.0,788.0,0.1,0.1,0.1,3925166.3333333335,4151062.0,1.0,6.123233995736766e-17
2021-06-30,London,18.3,2.033333333333333,883.0,3975671.0,528416.0,2020-03-19,0.1,16.9,14.6,528416.0,490420.0,0.6,0.6333333333333333,621.0,343.0,0.1,0.1,0.1,3922091.0,4041088.0,1.2246467991473532e-16,-1.0
2021-09-30,London,22.1,2.766666666666667,1132.0,4055033.3333333335,528416.0,2020-03-19,0.1,18.3,26.8,528416.0,490420.0,2.033333333333333,0.5666666666666667,883.0,499.0,0.1,0.1,0.1,3975671.0,3984362.3333333335,-1.0,-1.8369701987210297e-16
2021-12-31,London,18.9,4.9,1244.0,4110673.3333333335,528416.0,2021-12-16,0.25,22.1,22.4,528416.0,490420.0,2.766666666666667,0.5333333333333333,1132.0,586.0,0.1,0.1,0.1,4055033.3333333335,3925166.3333333335,-2.4492935982947064e-16,1.0
2022-03-31,London,14.9,6.233333333333333,1259.0,4164401.0,572007.0,2022-03-17,0.75,18.9,16.9,528416.0,528416.0,4.9,0.6,1244.0,621.0,0.25,0.1,0.1,4110673.3333333335,3922091.0,1.0,6.123233995736766e-17
2022-06-30,London,13.2,9.166666666666666,1294.0,4203589.666666667,572007.0,2022-06-16,1.25,14.9,18.3,572007.0,528416.0,6.233333333333333,2.033333333333333,1259.0,883.0,0.75,0.25,0.1,4164401.0,3975671.0,1.2246467991473532e-16,-1.0
2022-09-30,London,15.1,10.033333333333331,1235.0,4241985.333333333,572007.0,2022-09-22,2.25,13.2,22.1,572007.0,528416.0,9.166666666666666,2.766666666666667,1294.0,1132.0,1.25,0.75,0.1,4203589.666666667,4055033.3333333335,-1.0,-1.8369701987210297e-16
2022-12-31,London,16.4,10.766666666666666,1138.0,4283892.0,572007.0,2022-12-15,3.5,15.1,18.9,572007.0,528416.0,10.033333333333331,4.9,1235.0,1244.0,2.25,1.25,0.25,4241985.333333333,4110673.3333333335,-2.4492935982947064e-16,1.0
2023-03-31,London,17.3,10.2,1089.0,4316298.0,573311.0,2023-03-23,4.25,16.4,14.9,572007.0,572007.0,10.766666666666666,6.233333333333333,1138.0,1259.0,3.5,2.25,0.75,4283892.0,4164401.0,1.0,6.123233995736766e-17
2023-06-30,London,14.9,8.433333333333332,1029.0,4339576.666666667,573311.0,2023-06-22,5.0,17.3,13.2,573311.0,572007.0,10.2,9.166666666666666,1089.0,1294.0,4.25,3.5,1.25,4316298.0,4203589.666666667,1.2246467991473532e-16,-1.0
2023-09-30,London,13.3,6.733333333333333,984.0,4352599.333333333,573311.0,2023-08-03,5.25,14.9,15.1,573311.0,572007.0,8.433333333333332,10.033333333333331,1029.0,1235.0,5.0,4.25,2.25,4339576.666666667,4241985.333333333,-1.0,-1.8369701987210297e-16
2023-12-31,London,10.5,4.166666666666667,923.0,4371252.666666667,573311.0,2023-08-03,5.25,13.3,16.4,573311.0,572007.0,6.733333333333333,10.766666666666666,984.0,1138.0,5.25,5.0,3.5,4352599.333333333,4283892.0,-2.4492935982947064e-16,1.0
2024-03-31,London,11.9,3.533333333333333,893.0,4380995.0,574596.6188854154,2023-08-03,5.25,10.5,17.3,573311.0,573311.0,4.166666666666667,10.2,923.0,1089.0,5.25,5.25,4.25,4371252.666666667,4316298.0,1.0,6.123233995736766e-17
2024-06-30,London,14.7,2.1,872.0,4391494.666666667,575885.1207015936,2023-08-03,5.25,11.9,14.9,574596.6188854154,573311.0,3.533333333333333,8.433333333333332,893.0,1029.0,5.25,5.25,5.0,4380995.0,4339576.666666667,1.2246467991473532e-16,-1.0
2024-09-30,London,20.4,2.0333333333333337,840.0,4392829.666666667,577176.5119133508,2024-08-01,5.0,14.7,13.3,575885.1207015936,573311.0,2.1,6.733333333333333,872.0,984.0,5.25,5.25,5.25,4391494.666666667,4352599.333333333,-1.0,-1.8369701987210297e-16
2024-12-31,London,18.1,2.466666666666667,805.0,4396280.666666667,578470.7990000001,2024-11-07,4.75,20.4,10.5,577176.5119133508,573311.0,2.0333333333333337,4.166666666666667,840.0,923.0,5.0,5.25,5.25,4392829.666666667,4371252.666666667,-2.4492935982947064e-16,1.0
2025-03-31,London,18.6,2.8000000000000003,775.0,4394822.0,579767.9884553842,2025-02-06,4.5,18.1,11.9,578470.7990000001,574596.6188854154,2.466666666666667,3.533333333333333,805.0,893.0,4.75,5.0,5.25,4396280.666666667,4380995.0,1.0,6.123233995736766e-17
2025-06-30,London,15.7,3.5,727.0,4387135.0,581068.0867879081,2025-05-08,4.25,18.6,14.7,579767.9884553842,575885.1207015936,2.8000000000000003,2.1,775.0,872.0,4.5,4.75,5.25,4394822.0,4391494.666666667,1.2246467991473532e-16,-1.0
2025-09-30,London,19.6,3.8,729.0,4386711.333333333,582371.100520571,2025-08-07,4.0,15.7,20.4,581068.0867879081,577176.5119133508,3.5,2.0333333333333337,727.0,840.0,4.25,4.5,5.0,4387135.0,4392829.666666667,-1.0,-1.8369701987210297e-16
2025-12-31,London,22.5,3.4,739.0,4376166.333333333,583677.0361910001,2025-12-18,3.75,19.6,18.1,582371.100520571,578470.7990000001,3.8,2.466666666666667,729.0,805.0,4.0,4.25,4.75,4386711.333333333,4396280.666666667,-2.4492935982947064e-16,1.0
2015-09-30,North East,22.3,0.0,742.0,1050391.3333333333,67132.0,2009-03-05,0.5,21.3,24.7,67132.0,64854.0,0.0,1.4333333333333331,730.0,686.0,0.5,0.5,0.5,1047090.0,1032285.3333333334,-1.0,-1.8369701987210297e-16
2015-12-31,North East,19.1,0.0666666666666666,745.0,1051824.0,67132.0,2009-03-05,0.5,22.3,21.5,67132.0,64854.0,0.0,0.9333333333333332,742.0,708.0,0.5,0.5,0.5,1050391.3333333333,1035794.3333333334,-2.4492935982947064e-16,1.0
2016-03-31,North East,19.2,0.3666666666666667,745.0,1053476.3333333333,66948.0,2009-03-05,0.5,19.1,23.2,67132.0,67132.0,0.0666666666666666,0.0999999999999999,745.0,729.0,0.5,0.5,0.5,1051824.0,1043603.0,1.0,6.123233995736766e-17
2016-06-30,North East,17.9,0.3666666666666667,748.0,1055122.6666666667,66948.0,2009-03-05,0.5,19.2,21.3,66948.0,67132.0,0.3666666666666667,0.0,745.0,730.0,0.5,0.5,0.5,1053476.3333333333,1047090.0,1.2246467991473532e-16,-1.0
2016-09-30,North East,17.5,0.7333333333333334,756.0,1055880.0,66948.0,2016-08-04,0.25,17.9,22.3,66948.0,67132.0,0.3666666666666667,0.0,748.0,742.0,0.5,0.5,0.5,1055122.6666666667,1050391.3333333333,-1.0,-1.8369701987210297e-16
2016-12-31,North East,16.0,1.2333333333333334,753.0,1057912.3333333333,66948.0,2016-08-04,0.25,17.5,19.1,66948.0,67132.0,0.7333333333333334,0.0666666666666666,756.0,745.0,0.25,0.5,0.5,1055880.0,1051824.0,-2.4492935982947064e-16,1.0
2017-03-31,North East,13.5,2.1333333333333333,766.0,1058412.3333333333,68304.0,2016-08-04,0.25,16.0,19.2,66948.0,66948.0,1.2333333333333334,0.3666666666666667,753.0,745.0,0.25,0.25,0.5,1057912.3333333333,1053476.3333333333,1.0,6.123233995736766e-17
2017-06-30,North East,15.4,2.733333333333333,792.0,1061253.6666666667,68304.0,2016-08-04,0.25,13.5,17.9,68304.0,66948.0,2.1333333333333333,0.3666666666666667,766.0,748.0,0.25,0.25,0.5,1058412.3333333333,1055122.6666666667,1.2246467991473532e-16,-1.0
2017-09-30,North East,14.9,2.833333333333333,806.0,1062963.6666666667,68304.0,2016-08-04,0.25,15.4,17.5,68304.0,66948.0,2.733333333333333,0.7333333333333334,792.0,756.0,0.25,0.25,0.25,1061253.6666666667,1055880.0,-1.0,-1.8369701987210297e-16
2017-12-31,North East,14.1,3.033333333333333,815.0,1066730.3333333333,68304.0,2017-11-02,0.5,14.9,16.0,68304.0,66948.0,2.833333333333333,1.2333333333333334,806.0,753.0,0.25,0.25,0.25,1062963.6666666667,1057912.3333333333,-2.4492935982947064e-16,1.0
2018-03-31,North East,15.2,2.733333333333333,808.0,1066237.3333333333,69096.0,2017-11-02,0.5,14.1,13.5,68304.0,68304.0,3.033333333333333,2.1333333333333333,815.0,766.0,0.5,0.25,0.25,1066730.3333333333,1058412.3333333333,1.0,6.123233995736766e-17
2018-06-30,North East,13.7,2.4,841.0,1067599.6666666667,69096.0,2017-11-02,0.5,15.2,15.4,69096.0,68304.0,2.733333333333333,2.733333333333333,808.0,792.0,0.5,0.5,0.25,1066237.3333333333,1061253.6666666667,1.2246467991473532e-16,-1.0
2018-09-30,North East,14.9,2.533333333333333,853.0,1068137.3333333333,69096.0,2018-08-02,0.75,13.7,14.9,69096.0,68304.0,2.4,2.833333333333333,841.0,806.0,0.5,0.5,0.25,1067599.6666666667,1062963.6666666667,-1.0,-1.8369701987210297e-16
2018-12-31,North East,15.7,2.2666666666666666,848.0,1069362.3333333333,69096.0,2018-08-02,0.75,14.9,14.1,69096.0,68304.0,2.533333333333333,3.033333333333333,853.0,815.0,0.75,0.5,0.5,1068137.3333333333,1066730.3333333333,-2.4492935982947064e-16,1.0
2019-06-30,North East,11.8,2.033333333333333,835.0,1069321.6666666667,70548.0,2018-08-02,0.75,15.7,15.2,69096.0,69096.0,2.2666666666666666,2.733333333333333,848.0,808.0,0.75,0.75,0.5,1069362.3333333333,1066237.3333333333,1.2246467991473532e-16,-1.0
2019-09-30,North East,17.2,1.8333333333333333,827.0,1069706.6666666667,70548.0,2018-08-02,0.75,11.8,13.7,70548.0,69096.0,2.033333333333333,2.4,835.0,841.0,0.75,0.75,0.5,1069321.6666666667,1067599.6666666667,-1.0,-1.8369701987210297e-16
2019-12-31,North East,17.1,1.4333333333333331,799.0,1072321.6666666667,70548.0,2018-08-02,0.75,17.2,14.9,70548.0,69096.0,1.8333333333333333,2.533333333333333,827.0,853.0,0.75,0.75,0.75,1069706.6666666667,1068137.3333333333,-2.4492935982947064e-16,1.0
2020-03-31,North East,18.0,1.6666666666666667,788.0,1075631.0,62081.0,2020-03-19,0.1,17.1,15.7,70548.0,69096.0,1.4333333333333331,2.2666666666666666,799.0,848.0,0.75,0.75,0.75,1072321.6666666667,1069362.3333333333,1.0,6.123233995736766e-17
2020-06-30,North East,15.2,0.6333333333333333,343.0,1056169.6666666667,62081.0,2020-03-19,0.1,18.0,11.8,62081.0,70548.0,1.6666666666666667,2.033333333333333,788.0,835.0,0.1,0.75,0.75,1075631.0,1069321.6666666667,1.2246467991473532e-16,-1.0
2020-09-30,North East,17.8,0.5666666666666667,499.0,1052794.6666666667,62081.0,2020-03-19,0.1,15.2,17.2,62081.0,70548.0,0.6333333333333333,1.8333333333333333,343.0,827.0,0.1,0.1,0.75,1056169.6666666667,1069706.6666666667,-1.0,-1.8369701987210297e-16
2020-12-31,North East,15.0,0.5333333333333333,586.0,1050649.6666666667,62081.0,2020-03-19,0.1,17.8,17.1,62081.0,70548.0,0.5666666666666667,1.4333333333333331,499.0,799.0,0.1,0.1,0.75,1052794.6666666667,1072321.6666666667,-2.4492935982947064e-16,1.0
2021-03-31,North East,15.1,0.6,621.0,1054946.6666666667,68206.0,2020-03-19,0.1,15.0,18.0,62081.0,62081.0,0.5333333333333333,1.6666666666666667,586.0,788.0,0.1,0.1,0.1,1050649.6666666667,1075631.0,1.0,6.123233995736766e-17
