Date,Total Vacancies (thousands)
Apr-Jun 2001,680.0
May-Jul 2001,674.0
Jun-Aug 2001,663.0
Jul-Sep 2001,664.0
Aug-Oct 2001,639.0
Sep-Nov 2001,626.0
Oct-Dec 2001,602.0
Nov- Jan 2002,606.0
Dec-Feb 2002,616.0
Jan-Mar 2002,619.0
Feb-Apr 2002,619.0
Mar-May 2002,613.0
Apr-Jun 2002,616.0
May-Jul 2002,611.0
Jun-Aug 2002,613.0
Jul-Sep 2002,609.0
Aug-Oct 2002,609.0
Sep-Nov 2002,608.0
Oct-Dec 2002,603.0
Nov-Jan 2003,602.0
Dec-Feb 2003,596.0
Jan-Mar 2003,593.0
Feb-Apr 2003,585.0
Mar-May 2003,589.0
Apr-Jun 2003,579.0
May-Jul 2003,574.0
Jun-Aug 2003,577.0
Jul-Sep 2003,592.0
Aug-Oct 2003,604.0
Sep-Nov 2003,610.0
Oct-Dec 2003,614.0
Nov-Jan 2004,613.0
Dec-Feb 2004,617.0
Jan-Mar 2004,624.0
Feb-Apr 2004,630.0
Mar-May 2004,637.0
Apr-Jun 2004,641.0
May-Jul 2004,652.0
Jun-Aug 2004,654.0
Jul-Sep 2004,654.0
Aug-Oct 2004,655.0
Sep-Nov 2004,657.0
Oct-Dec 2004,661.0
Nov-Jan 2005,661.0
Dec-Feb 2005,655.0
Jan-Mar 2005,643.0
Feb-Apr 2005,636.0
Mar-May 2005,642.0
Apr-Jun 2005,642.0
May-Jul 2005,634.0
Jun-Aug 2005,624.0
Jul-Sep 2005,621.0
Aug-Oct 2005,609.0
Sep-Nov 2005,606.0
Oct-Dec 2005,609.0
Nov-Jan 2006,614.0
Dec-Feb 2006,613.0
Jan-Mar 2006,599.0
Feb-Apr 2006,598.0
Mar-May 2006,597.0
Apr-Jun 2006,604.0
May-Jul 2006,608.0
Jun-Aug 2006,611.0
Jul-Sep 2006,611.0
Aug-Oct 2006,618.0
Sep-Nov 2006,619.0
Oct-Dec 2006,621.0
Nov-Jan 2007,618.0
Dec-Feb 2007,629.0
Jan-Mar 2007,642.0
Feb-Apr 2007,647.0
Mar-May 2007,651.0
Apr-Jun 2007,659.0
May-Jul 2007,670.0
Jun-Aug 2007,681.0
Jul-Sep 2007,684.0
Aug-Oct 2007,686.0
Sep-Nov 2007,690.0
Oct-Dec 2007,687.0
Nov-Jan 2008,678.0
Dec-Feb 2008,687.0
Jan-Mar 2008,698.0
Feb-Apr 2008,693.0
Mar-May 2008,679.0
Apr-Jun 2008,657.0
May-Jul 2008,642.0
Jun-Aug 2008,625.0
Jul-Sep 2008,615.0
Aug-Oct 2008,596.0
Sep-Nov 2008,562.0
Oct-Dec 2008,527.0
Nov-Jan 2009,498.0
Dec-Feb 2009,478.0
Jan-Mar 2009,464.0
Feb-Apr 2009,454.0
Mar-May 2009,444.0
Apr-Jun 2009,431.0
May-Jul 2009,429.0
Jun-Aug 2009,439.0
Jul-Sep 2009,436.0
Aug-Oct 2009,432.0
Sep-Nov 2009,437.0
Oct-Dec 2009,454.0
Nov-Jan 2010,465.0
Dec-Feb 2010,467.0
Jan-Mar 2010,465.0
Feb-Apr 2010,467.0
Mar-May 2010,479.0
Apr-Jun 2010,484.0
May-Jul 2010,479.0
Jun-Aug 2010,461.0
Jul-Sep 2010,455.0
Aug-Oct 2010,455.0
Sep-Nov 2010,473.0
Oct-Dec 2010,482.0
Nov-Jan 2011,495.0
Dec-Feb 2011,490.0
Jan-Mar 2011,482.0
Feb-Apr 2011,472.0
Mar-May 2011,461.0
Apr-Jun 2011,460.0
May-Jul 2011,457.0
Jun-Aug 2011,462.0
Jul-Sep 2011,464.0
Aug-Oct 2011,467.0
Sep-Nov 2011,461.0
Oct-Dec 2011,465.0
Nov-Jan 2012,475.0
Dec-Feb 2012,473.0
Jan-Mar 2012,467.0
Feb-Apr 2012,465.0
Mar-May 2012,470.0
Apr-Jun 2012,474.0
May-Jul 2012,480.0
Jun-Aug 2012,484.0
Jul-Sep 2012,488.0
Aug-Oct 2012,490.0
Sep-Nov 2012,493.0
Oct-Dec 2012,501.0
Nov-Jan 2013,502.0
Dec-Feb 2013,505.0
Jan-Mar 2013,506.0
Feb-Apr 2013,515.0
Mar-May 2013,522.0
Apr-Jun 2013,533.0
May-Jul 2013,540.0
Jun-Aug 2013,536.0
Jul-Sep 2013,548.0
Aug-Oct 2013,551.0
Sep-Nov 2013,567.0
Oct-Dec 2013,573.0
Nov-Jan 2014,582.0
Dec-Feb 2014,596.0
Jan-Mar 2014,615.0
Feb-Apr 2014,639.0
Mar-May 2014,653.0
Apr-Jun 2014,662.0
May-Jul 2014,670.0
Jun-Aug 2014,682.0
Jul-Sep 2014,686.0
Aug-Oct 2014,701.0
Sep-Nov 2014,703.0
Oct-Dec 2014,708.0
Nov-Jan 2015,710.0
Dec-Feb 2015,721.0
Jan-Mar 2015,729.0
Feb-Apr 2015,726.0
Mar-May 2015,727.0
Apr-Jun 2015,730.0
May-Jul 2015,744.0
Jun-Aug 2015,744.0
Jul-Sep 2015,742.0
Aug-Oct 2015,740.0
Sep-Nov 2015,741.0
Oct-Dec 2015,745.0
Nov-Jan 2016,747.0
Dec-Feb 2016,746.0
Jan-Mar 2016,745.0
