Year,Length,CPI Annual Rate %,CPI Index
1947 JUN,8,,
1947 JUL,8,,
1947 AUG,8,,
1947 SEP,8,,
1947 OCT,8,,
1947 NOV,8,,
1947 DEC,8,,
1948 JAN,8,,
1948 FEB,8,,
1948 MAR,8,,
1948 APR,8,,
1948 MAY,8,,
1948 JUN,8,,
1948 JUL,8,,
1948 AUG,8,,
1948 SEP,8,,
1948 OCT,8,,
1948 NOV,8,,
1948 DEC,8,,
1949 JAN,8,,
1949 FEB,8,,
1949 MAR,8,,
1949 APR,8,,
1949 MAY,8,,
1949 JUN,8,,
1949 JUL,8,,
1949 AUG,8,,
1949 SEP,8,,
1949 OCT,8,,
1949 NOV,8,,
1949 DEC,8,,
1950 JAN,8,,
1950 FEB,8,,
1950 MAR,8,,
1950 APR,8,,
1950 MAY,8,,
1950 JUN,8,,
1950 JUL,8,,
1950 AUG,8,,
1950 SEP,8,,
1950 OCT,8,,
1950 NOV,8,,
1950 DEC,8,,
1951 JAN,8,,
1951 FEB,8,,
1951 MAR,8,,
1951 APR,8,,
1951 MAY,8,,
1951 JUN,8,,
1951 JUL,8,,
1951 AUG,8,,
1951 SEP,8,,
1951 OCT,8,,
1951 NOV,8,,
1951 DEC,8,,
1952 JAN,8,,
1952 FEB,8,,
1952 MAR,8,,
1952 APR,8,,
1952 MAY,8,,
1952 JUN,8,,
1952 JUL,8,,
1952 AUG,8,,
1952 SEP,8,,
1952 OCT,8,,
1952 NOV,8,,
1952 DEC,8,,
1953 JAN,8,,
1953 FEB,8,,
1953 MAR,8,,
1953 APR,8,,
1953 MAY,8,,
1953 JUN,8,,
1953 JUL,8,,
1953 AUG,8,,
1953 SEP,8,,
1953 OCT,8,,
1953 NOV,8,,
1953 DEC,8,,
1954 JAN,8,,
1954 FEB,8,,
1954 MAR,8,,
1954 APR,8,,
1954 MAY,8,,
1954 JUN,8,,
1954 JUL,8,,
1954 AUG,8,,
1954 SEP,8,,
1954 OCT,8,,
1954 NOV,8,,
1954 DEC,8,,
1955 JAN,8,,
1955 FEB,8,,
1955 MAR,8,,
1955 APR,8,,
1955 MAY,8,,
1955 JUN,8,,
1955 JUL,8,,
1955 AUG,8,,
1955 SEP,8,,
1955 OCT,8,,
1955 NOV,8,,
1955 DEC,8,,
1956 JAN,8,,
1956 FEB,8,,
1956 MAR,8,,
1956 APR,8,,
1956 MAY,8,,
1956 JUN,8,,
1956 JUL,8,,
1956 AUG,8,,
1956 SEP,8,,
1956 OCT,8,,
1956 NOV,8,,
1956 DEC,8,,
1957 JAN,8,,
1957 FEB,8,,
1957 MAR,8,,
1957 APR,8,,
1957 MAY,8,,
1957 JUN,8,,
1957 JUL,8,,
1957 AUG,8,,
1957 SEP,8,,
1957 OCT,8,,
1957 NOV,8,,
1957 DEC,8,,
1958 JAN,8,,
1958 FEB,8,,
1958 MAR,8,,
1958 APR,8,,
1958 MAY,8,,
1958 JUN,8,,
1958 JUL,8,,
1958 AUG,8,,
1958 SEP,8,,
1958 OCT,8,,
1958 NOV,8,,
1958 DEC,8,,
1959 JAN,8,,
1959 FEB,8,,
1959 MAR,8,,
1959 APR,8,,
1959 MAY,8,,
1959 JUN,8,,
1959 JUL,8,,
1959 AUG,8,,
1959 SEP,8,,
1959 OCT,8,,
1959 NOV,8,,
1959 DEC,8,,
1960 JAN,8,,
1960 FEB,8,,
1960 MAR,8,,
1960 APR,8,,
1960 MAY,8,,
1960 JUN,8,,
1960 JUL,8,,
1960 AUG,8,,
1960 SEP,8,,
1960 OCT,8,,
1960 NOV,8,,
1960 DEC,8,,
1961 JAN,8,,
1961 FEB,8,,
1961 MAR,8,,
1961 APR,8,,
1961 MAY,8,,
1961 JUN,8,,
1961 JUL,8,,
1961 AUG,8,,
1961 SEP,8,,
1961 OCT,8,,
1961 NOV,8,,
1961 DEC,8,,
1962 JAN,8,,
1962 FEB,8,,
1962 MAR,8,,
1962 APR,8,,
1962 MAY,8,,
1962 JUN,8,,
1962 JUL,8,,
1962 AUG,8,,
1962 SEP,8,,
1962 OCT,8,,
1962 NOV,8,,
1962 DEC,8,,
1963 JAN,8,,
1963 FEB,8,,
1963 MAR,8,,
1963 APR,8,,
1963 MAY,8,,
1963 JUN,8,,
