ITL,ITL_code,Region_name,Year,GDP_Value_mil
UK,UK,United Kingdom,1998,1670654
UK,UK,United Kingdom,1999,1721748
UK,UK,United Kingdom,2000,1796500
UK,UK,United Kingdom,2001,1842720
UK,UK,United Kingdom,2002,1875809
UK,UK,United Kingdom,2003,1934941
UK,UK,United Kingdom,2004,1982500
UK,UK,United Kingdom,2005,2036675
UK,UK,United Kingdom,2006,2085162
UK,UK,United Kingdom,2007,2139895
UK,UK,United Kingdom,2008,2134571
UK,UK,United Kingdom,2009,2035942
UK,UK,United Kingdom,2010,2081411
UK,UK,United Kingdom,2011,2105105
UK,UK,United Kingdom,2012,2136871
UK,UK,United Kingdom,2013,2175333
UK,UK,United Kingdom,2014,2244827
UK,UK,United Kingdom,2015,2294727
UK,UK,United Kingdom,2016,2338825
UK,UK,United Kingdom,2017,2400956
UK,UK,United Kingdom,2018,2434694
UK,UK,United Kingdom,2019,2474245
UK,UK,United Kingdom,2020,2219474
UK,UK,United Kingdom,2021,2409815
UK,UK,United Kingdom,2022,2526428
UK,UK,United Kingdom,2023,2535017
Other,TLB,England,1998,1370826
Other,TLB,England,1999,1416697
Other,TLB,England,2000,1481703
Other,TLB,England,2001,1519358
Other,TLB,England,2002,1550059
Other,TLB,England,2003,1601027
Other,TLB,England,2004,1641470
Other,TLB,England,2005,1689212
Other,TLB,England,2006,1735147
Other,TLB,England,2007,1786580
Other,TLB,England,2008,1785435
Other,TLB,England,2009,1700165
Other,TLB,England,2010,1747657
Other,TLB,England,2011,1774290
Other,TLB,England,2012,1808090
Other,TLB,England,2013,1846097
Other,TLB,England,2014,1908298
Other,TLB,England,2015,1951266
Other,TLB,England,2016,1989223
Other,TLB,England,2017,2041975
Other,TLB,England,2018,2072220
Other,TLB,England,2019,2104871
Other,TLB,England,2020,1888350
Other,TLB,England,2021,2054211
Other,TLB,England,2022,2157344
Other,TLB,England,2023,2168108
ITL1,TLC,North East,1998,49818
ITL1,TLC,North East,1999,50618
ITL1,TLC,North East,2000,51909
ITL1,TLC,North East,2001,54212
ITL1,TLC,North East,2002,56590
ITL1,TLC,North East,2003,58573
ITL1,TLC,North East,2004,61816
ITL1,TLC,North East,2005,62485
ITL1,TLC,North East,2006,64128
ITL1,TLC,North East,2007,64125
ITL1,TLC,North East,2008,63388
ITL1,TLC,North East,2009,61083
ITL1,TLC,North East,2010,61831
ITL1,TLC,North East,2011,62595
