Month ,Level_16_plus,Level_16_64,Level_16_17,Level_18_24,Level_16_24,Level_25_34,Level_35_49,Level_50_64,Level_65_plus,Rate_16_plus,Rate_16_64,Rate_16_17,Rate_18_24,Rate_16_24,Rate_25_34,Rate_35_49,Rate_50_64,Rate_65_plus
Jun-Aug 2001,249,248,26,71,97,56,60,35,*,6.6,6.7,36.2,13.9,16.7,4.7,4.7,5.3,*
Jul-Sep 2001,268,268,27,72,99,69,63,37,*,7.1,7.2,38.7,14,17,5.7,4.9,5.6,*
Aug-Oct 2001,275,275,27,74,101,66,72,35,*,7.3,7.4,38.4,14.2,17.1,5.5,5.6,5.4,*
Sep-Nov 2001,274,273,23,72,95,72,74,32,1,7.2,7.3,33.7,13.9,16.3,5.9,5.7,4.9,2.3
Oct-Dec 2001,278,276,21,73,94,74,76,31,1,7.3,7.4,29.8,14.1,16,6.1,5.9,4.8,2.5
Nov-Jan 2002,269,267,17,67,84,80,73,29,2,7.1,7.2,27,13.2,14.7,6.6,5.7,4.5,3.9
Dec-Feb 2002,261,259,17,62,79,78,71,31,2,6.9,7,28.6,12.5,14.2,6.5,5.6,4.6,3.2
Jan-Mar 2002,257,255,18,56,74,78,74,29,3,6.8,6.9,30.5,11.4,13.4,6.5,5.7,4.4,4.4
Feb-Apr 2002,253,250,19,54,73,76,70,31,2,6.7,6.8,30.7,11.2,13.4,6.3,5.4,4.7,3.7
Mar-May 2002,251,248,16,53,68,74,73,33,2,6.6,6.7,28.8,10.7,12.5,6.1,5.6,4.9,3.8
Apr-Jun 2002,242,240,15,56,71,67,69,34,3,6.4,6.4,27.3,11.5,13,5.5,5.3,5,4.2
May-Jul 2002,251,247,16,66,82,64,67,34,4,6.6,6.6,26.3,13.6,15.1,5.3,5.1,5.1,6.8
Jun-Aug 2002,273,270,23,70,93,71,73,33,3,7.2,7.2,35.2,14.2,16.7,5.9,5.5,4.9,6.1
Jul-Sep 2002,286,283,27,72,99,76,77,32,3,7.6,7.6,38.5,14.9,17.9,6.3,5.9,4.8,5.3
Aug-Oct 2002,275,273,25,63,88,75,78,31,2,7.3,7.3,39.1,13,16.1,6.2,5.9,4.8,3.3
Sep-Nov 2002,258,256,23,57,80,73,70,32,2,6.8,6.9,37.8,12.2,15.1,6.1,5.3,4.9,3.4
Oct-Dec 2002,251,249,24,58,82,66,68,33,2,6.6,6.7,35.5,12.3,15.3,5.5,5.1,5,3.3
Nov-Jan 2003,253,252,23,59,82,72,65,33,*,6.7,6.8,35.1,12.6,15.4,6,5,5,*
Dec-Feb 2003,261,259,19,67,87,70,69,33,2,7,7,29,14.5,16.3,5.9,5.3,5.1,2.7
Jan-Mar 2003,260,259,16,68,84,71,70,34,*,7,7,27.9,14.5,16,6,5.3,5.2,*
Feb-Apr 2003,265,263,15,67,82,71,73,37,2,7.1,7.1,26.7,14.2,15.5,6,5.5,5.5,4
Mar-May 2003,252,250,17,58,75,67,75,33,1,6.7,6.8,30.8,12.6,14.5,5.7,5.6,5,2.3
Apr-Jun 2003,256,254,17,63,80,70,73,31,1,6.8,6.9,31.6,13.7,15.6,5.9,5.5,4.6,2.3
May-Jul 2003,282,281,23,75,98,69,82,32,*,7.5,7.6,36.4,16.1,18.5,5.9,6.1,4.7,*
Jun-Aug 2003,291,289,26,82,108,64,85,32,2,7.6,7.7,40.9,16.7,19.5,5.5,6.3,4.7,3.9
Jul-Sep 2003,294,291,27,80,108,60,89,34,3,7.7,7.7,42,16.3,19.3,5.1,6.6,5.1,5.1
Aug-Oct 2003,274,270,24,70,94,63,83,31,3,7.2,7.2,37.5,14.3,17,5.3,6.1,4.5,5.8
Sep-Nov 2003,278,275,23,72,95,70,76,33,3,7.3,7.3,35.3,14.9,17.3,5.9,5.7,5,5.9
Oct-Dec 2003,264,261,21,65,86,74,70,31,3,7,7,32.7,14,16.2,6.3,5.2,4.6,6.2
Nov-Jan 2004,259,257,20,69,89,70,69,29,2,6.9,6.9,32.4,14.7,16.7,6,5.2,4.3,4.1
Dec-Feb 2004,254,252,16,68,85,67,70,31,2,6.7,6.8,30.3,14.5,16.1,5.7,5.2,4.5,3
Jan-Mar 2004,258,255,16,74,89,66,67,32,3,6.8,6.8,31.2,15.3,16.8,5.7,4.9,4.8,5
Feb-Apr 2004,257,254,17,69,86,67,66,35,3,6.8,6.8,34.2,14.4,16.2,5.7,4.8,5.2,6.1
Mar-May 2004,246,244,18,62,79,63,72,30,3,6.5,6.5,37.8,13.1,15.3,5.4,5.3,4.4,4.8
Apr-Jun 2004,250,248,22,60,82,62,76,28,2,6.6,6.7,45.2,13,16,5.3,5.6,4.1,2.9
May-Jul 2004,274,274,27,75,102,71,75,26,*,7.3,7.4,54.5,15.9,19.6,6.1,5.5,3.9,*
Jun-Aug 2004,280,277,31,85,116,70,65,25,2,7.4,7.4,54.4,17.4,21.3,6.1,4.8,3.7,3.9
Jul-Sep 2004,295,293,33,89,122,74,67,30,3,7.8,7.8,54.2,18.3,22.2,6.4,4.9,4.4,4.5
Aug-Oct 2004,284,280,30,85,115,74,62,29,4,7.5,7.6,51.8,17.7,21.4,6.4,4.6,4.4,5.7
Sep-Nov 2004,273,270,25,76,102,77,62,29,3,7.2,7.2,44.3,16.5,19.6,6.7,4.6,4.1,4.9
Oct-Dec 2004,275,272,24,78,102,80,60,31,3,7.3,7.3,41.6,16.9,19.6,6.8,4.4,4.5,5.3
Nov-Jan 2005,262,259,23,70,93,77,61,28,3,6.9,6.9,40.2,15.4,18.1,6.6,4.5,4.1,5.3
Dec-Feb 2005,267,264,24,68,92,79,62,31,3,7,7.1,45.8,15.3,18.5,6.7,4.5,4.4,4.3
Jan-Mar 2005,250,248,24,63,87,74,60,26,2,6.6,6.6,47.2,14.1,17.5,6.3,4.4,3.7,3.1
Feb-Apr 2005,252,250,22,61,83,76,65,26,2,6.6,6.7,45.3,13.6,16.8,6.5,4.7,3.7,3.3
Mar-May 2005,259,257,24,71,94,71,62,30,2,6.8,6.9,46.9,15.8,19,6.2,4.5,4.2,2.7
Apr-Jun 2005,255,254,21,72,93,69,63,29,*,6.7,6.8,41.5,16.1,18.6,5.9,4.6,4.1,*
May-Jul 2005,258,257,20,79,100,64,62,31,*,6.7,6.8,40.1,17.1,19.4,5.5,4.5,4.3,*
Jun-Aug 2005,261,259,24,87,111,65,55,29,2,6.8,6.9,43.6,18.6,21.2,5.5,4,4.1,2.6
Jul-Sep 2005,277,274,26,95,121,69,54,30,3,7.2,7.2,46.3,19.8,22.6,5.9,3.9,4.2,4.9
Aug-Oct 2005,304,299,27,100,127,80,60,33,4,7.8,7.9,46.4,20.7,23.4,6.8,4.4,4.6,5.6
Sep-Nov 2005,302,297,18,90,108,85,71,32,5,7.8,7.8,38,19,20.8,7.2,5.2,4.6,6.8
Oct-Dec 2005,287,283,18,81,99,82,71,31,5,7.4,7.5,37.7,17.4,19.3,6.9,5.2,4.3,6.1
Nov-Jan 2006,276,272,19,71,90,77,73,32,4,7.1,7.2,38.7,15.6,17.8,6.5,5.3,4.3,5.4
Dec-Feb 2006,289,286,20,70,90,81,81,34,3,7.4,7.5,41.1,15.1,17.6,6.8,5.8,4.8,3.7
Jan-Mar 2006,294,292,19,72,91,85,85,31,2,7.5,7.6,40.5,15.2,17.5,7.1,6.1,4.4,2.3
Feb-Apr 2006,292,291,19,75,94,81,82,33,*,7.5,7.6,38.9,16.2,18.4,6.7,5.9,4.6,*
Mar-May 2006,296,293,18,82,101,82,80,30,3,7.6,7.6,40,17.5,19.5,6.8,5.7,4.3,3.3
Apr-Jun 2006,294,292,21,81,102,80,82,28,2,7.5,7.6,43.2,17.1,19.5,6.5,5.9,4,2.4
May-Jul 2006,314,311,23,95,118,81,85,26,3,7.9,8,46.9,19.2,21.6,6.7,6,3.8,3.5
Jun-Aug 2006,331,329,26,100,126,82,90,32,2,8.3,8.4,46.9,19.5,22.1,6.7,6.3,4.6,2.5
Jul-Sep 2006,335,333,28,100,128,84,86,35,2,8.4,8.5,50.3,19.4,22.4,6.9,6.1,5.1,2.4
Aug-Oct 2006,317,315,24,87,111,86,86,33,1,8,8.1,45.4,16.8,19.5,7,6.1,4.7,1.9
Sep-Nov 2006,305,304,24,76,100,84,91,28,*,7.7,7.8,44.3,15.1,18,7,6.4,4,*
Oct-Dec 2006,312,310,24,80,104,82,96,29,2,7.9,8,43.9,15.7,18.5,6.8,6.7,4.1,2.5
Nov-Jan 2007,295,294,22,79,101,77,90,25,*,7.5,7.6,42.3,15.8,18.3,6.4,6.3,3.7,*
Dec-Feb 2007,288,287,23,77,100,70,88,29,*,7.3,7.4,42.2,15.4,18,5.8,6.2,4.1,*
Jan-Mar 2007,276,274,20,79,99,68,80,27,2,7,7.1,38.9,15.9,18,5.6,5.6,3.9,2.1
Feb-Apr 2007,283,281,21,79,100,65,85,31,2,7.2,7.2,40.4,15.9,18.1,5.4,6,4.4,3.1
Mar-May 2007,284,281,15,89,104,64,79,34,2,7.2,7.2,33.3,17.6,18.9,5.3,5.6,4.8,3.4
Apr-Jun 2007,282,278,16,87,102,56,85,34,4,7.1,7.2,32.1,17.2,18.5,4.7,6,4.8,5.5
May-Jul 2007,272,269,18,89,107,48,79,35,4,6.9,6.9,36,17.4,19.1,4,5.6,4.9,5.2
Jun-Aug 2007,258,255,20,92,112,44,69,30,3,6.5,6.5,40.2,17.5,19.5,3.6,4.9,4.2,4.8
Jul-Sep 2007,265,263,19,91,110,50,70,33,2,6.6,6.7,39.4,16.8,18.6,4.1,5,4.6,3
Aug-Oct 2007,274,272,15,93,108,56,72,36,2,6.9,6.9,33.4,17.2,18.5,4.6,5.1,4.9,3.3
Sep-Nov 2007,283,281,17,88,105,56,85,35,2,7.1,7.1,34.1,16.9,18.3,4.6,6,4.7,3
