Month ,Level_16_plus,Level_16_64,Level_16_17,Level_18_24,Level_16_24,Level_25_34,Level_35_49,Level_50_64,Level_65_plus,Rate_16_plus,Rate_16_64,Rate_16_17,Rate_18_24,Rate_16_24,Rate_25_34,Rate_35_49,Rate_50_64,Rate_65_plus
Jun-Aug 2001,85,85,13,20,32,20,22,10,*,7.3,7.3,37.3,11.5,15.8,7.6,5,4.1,*
Jul-Sep 2001,82,82,11,18,29,21,20,12,*,7.1,7.1,33.3,10.5,14.3,8.1,4.4,4.8,*
Aug-Oct 2001,80,80,8,21,29,20,19,12,*,6.9,6.9,23.6,12.2,14.1,7.8,4.3,4.9,*
Sep-Nov 2001,80,79,6,21,28,20,21,11,*,6.9,6.9,18.8,13,14,7.7,4.8,4.3,*
Oct-Dec 2001,76,76,6,21,27,18,22,9,*,6.6,6.6,17.9,12.7,13.6,6.9,4.8,3.8,*
Nov-Jan 2002,82,82,8,19,27,20,25,10,*,7.1,7.1,23.1,11.7,13.7,7.7,5.6,3.9,*
Dec-Feb 2002,87,87,8,19,28,21,29,9,*,7.5,7.5,25.5,11.9,14.1,8,6.4,3.7,*
Jan-Mar 2002,89,88,9,22,31,20,28,9,*,7.6,7.6,27.5,13.8,16.1,7.6,6.1,3.7,*
Feb-Apr 2002,84,83,6,21,27,19,26,11,1,7.2,7.2,19.3,12.5,13.6,7.5,5.6,4.6,15.2
Mar-May 2002,79,77,6,17,23,19,23,13,1,6.8,6.8,19.5,10.5,11.9,7.7,5,5.3,15.4
Apr-Jun 2002,75,74,6,17,24,17,21,13,*,6.5,6.5,23.4,10.8,12.5,6.7,4.7,5.1,*
May-Jul 2002,75,75,8,18,26,16,22,11,*,6.5,6.6,24.7,11,13.3,6.3,4.9,4.6,*
Jun-Aug 2002,73,73,9,20,29,13,19,12,*,6.3,6.3,25,11.7,14,5.3,4.2,4.8,*
Jul-Sep 2002,73,72,10,18,27,12,20,13,*,6.2,6.2,27.8,10.2,13.2,5,4.3,5.1,*
Aug-Oct 2002,69,68,9,19,28,11,19,11,*,5.9,5.9,30.3,10.8,13.6,4.4,4,4.6,*
Sep-Nov 2002,77,76,8,22,31,11,22,13,*,6.6,6.7,28.6,13.4,15.7,4.8,4.7,5,*
Oct-Dec 2002,79,79,8,22,30,12,24,14,*,6.9,6.9,26.6,13.5,15.5,4.9,5.2,5.4,*
Nov-Jan 2003,73,73,8,20,27,11,20,14,*,6.4,6.5,26.6,13,15.1,4.4,4.4,5.7,*
Dec-Feb 2003,77,76,7,23,30,15,18,13,*,6.7,6.7,26.6,14.6,16.3,6,4.1,5.1,*
Jan-Mar 2003,78,78,6,25,31,15,19,13,*,6.9,6.9,24.8,15.7,17,6.3,4.1,5.2,*
Feb-Apr 2003,80,80,6,27,33,17,17,13,*,7,7,26.5,16.8,18,7.3,3.7,4.9,*
Mar-May 2003,75,75,5,25,30,16,15,13,*,6.5,6.6,22.4,15.3,16.2,6.9,3.3,5.2,*
Apr-Jun 2003,69,69,7,23,30,16,11,12,*,6,6.1,29.6,13.8,15.9,6.5,2.5,4.8,*
May-Jul 2003,74,74,7,27,34,15,14,10,*,6.4,6.4,26.2,15.3,16.8,6.5,3.1,4,*
Jun-Aug 2003,73,73,10,24,35,13,15,10,*,6.2,6.3,31.2,13.5,16.2,5.6,3.3,4,*
Jul-Sep 2003,77,77,11,27,38,15,14,11,*,6.6,6.6,30.1,15.3,17.8,6.2,3,4.2,*
Aug-Oct 2003,77,77,14,24,38,13,16,10,*,6.6,6.6,33.1,13.8,17.6,5.6,3.5,4,*
Sep-Nov 2003,73,73,13,22,35,16,14,9,*,6.2,6.2,29.9,13,16.4,6.4,3,3.4,*
Oct-Dec 2003,71,71,9,21,30,14,18,9,*,6,6.1,23.6,12.2,14.4,5.8,3.9,3.5,*
Nov-Jan 2004,73,73,6,22,28,15,17,12,*,6.2,6.2,16.7,13.1,13.7,6.3,3.6,4.9,*
Dec-Feb 2004,69,69,6,22,28,12,16,13,*,5.8,5.9,16.2,13.3,13.8,5.1,3.4,4.9,*
Jan-Mar 2004,66,66,6,22,28,13,13,12,*,5.6,5.7,17.3,13,13.7,5.4,2.8,4.7,*
Feb-Apr 2004,65,65,7,21,28,12,12,14,*,5.5,5.6,22.5,12,13.7,4.9,2.6,5.3,*
Mar-May 2004,63,63,7,19,26,12,11,13,*,5.4,5.5,24.4,11.2,13.3,5,2.4,5.2,*
Apr-Jun 2004,63,63,8,18,26,12,14,11,*,5.4,5.5,26.5,10.4,12.8,5,3,4.4,*
May-Jul 2004,64,64,8,21,29,13,13,9,*,5.4,5.5,24.7,11.7,13.7,5.2,2.8,3.5,*
Jun-Aug 2004,72,72,10,23,33,14,16,9,*,6,6.1,26.1,12.3,14.6,5.7,3.5,3.5,*
Jul-Sep 2004,71,71,11,25,36,14,13,8,*,6,6,28.1,13.2,15.7,5.9,2.8,3.3,*
Aug-Oct 2004,71,71,11,23,33,16,15,8,*,6,6.1,30.3,12.4,15.3,6.4,3.2,3.1,*
Sep-Nov 2004,76,76,11,24,35,15,16,10,*,6.4,6.5,31.3,13.4,16.2,5.9,3.4,4.1,*
Oct-Dec 2004,73,73,9,23,32,14,17,11,*,6.2,6.2,26.1,12.4,14.5,5.8,3.6,4.2,*
Nov-Jan 2005,65,65,7,17,24,13,16,12,*,5.4,5.5,22.1,9.3,11.1,5.4,3.4,4.5,*
Dec-Feb 2005,63,62,6,16,22,14,15,11,*,5.2,5.2,18.7,8.8,10.2,5.7,3.2,4.3,*
Jan-Mar 2005,67,66,6,18,25,13,17,11,*,5.6,5.6,23,10.3,12,5.4,3.6,4.3,*
Feb-Apr 2005,70,69,7,21,28,12,18,11,*,5.9,5.9,25.9,11.5,13.6,4.9,3.9,4.3,*
Mar-May 2005,76,75,8,25,34,11,18,12,*,6.3,6.3,29.5,14,16.1,4.6,3.9,4.5,*
Apr-Jun 2005,80,79,9,29,38,12,16,13,1,6.7,6.6,30.4,15.5,17.6,4.8,3.5,5,11
May-Jul 2005,81,80,10,31,42,13,14,12,2,6.8,6.7,32.4,16.9,19.1,5.3,3,4.3,12.7
Jun-Aug 2005,83,82,12,33,45,13,15,9,*,6.9,6.9,38.1,17.3,20.3,5.1,3.4,3.4,*
Jul-Sep 2005,81,81,14,29,43,13,17,8,*,6.8,6.7,40.1,15.5,19.3,5.3,3.7,2.9,*
Aug-Oct 2005,80,80,12,29,42,12,18,8,*,6.6,6.7,36.2,15.7,18.9,5.1,3.8,3,*
Sep-Nov 2005,74,73,9,26,36,13,15,9,*,6.2,6.2,27.5,14.6,16.6,5.5,3.3,3.3,*
Oct-Dec 2005,75,75,10,25,35,13,17,10,*,6.3,6.3,30.8,13.9,16.4,5.4,3.6,3.6,*
Nov-Jan 2006,78,78,10,27,37,13,17,11,*,6.5,6.6,30.9,15.3,17.6,5.2,3.8,4,*
Dec-Feb 2006,82,82,9,25,34,13,23,12,*,6.7,6.8,30.5,13.6,15.9,5.4,4.9,4.2,*
Jan-Mar 2006,79,78,7,25,31,12,23,11,*,6.4,6.5,24.7,13.3,14.8,5,4.9,4,*
Feb-Apr 2006,75,74,8,21,29,13,22,10,*,6.1,6.1,27.5,11.3,13.5,5.2,4.8,3.6,*
Mar-May 2006,70,70,7,19,27,11,24,8,*,5.7,5.8,26.8,10.7,12.9,4.2,5.2,3,*
Apr-Jun 2006,73,72,8,22,30,12,24,6,*,5.9,6,28.9,11.9,14.2,4.7,5.1,2.3,*
May-Jul 2006,82,82,8,24,32,14,27,9,*,6.7,6.7,28.6,13,15.1,5.7,5.7,3.1,*
Jun-Aug 2006,87,86,10,31,41,14,23,9,*,7,7,33,15.7,18.1,5.5,4.8,3.1,*
